Hour,Day_of_Week,Temperature,Humidity,Is_Weekend,Consumption_kWh
22,4,19.3,32.0,0,5.85
15,5,32.8,43.7,1,9.28
16,3,26.9,41.2,0,7.45
21,4,29.3,36.7,0,8.48
13,1,34.0,61.5,0,10.67
18,4,17.6,45.3,0,5.85
20,1,23.3,25.3,0,6.39
5,1,29.1,65.5,0,6.04
1,5,30.4,53.3,1,5.54
7,4,25.7,60.4,0,7.46
6,2,34.2,56.6,0,9.41
20,0,29.3,64.5,0,7.08
21,1,20.7,55.6,0,5.45
0,5,22.4,73.5,1,3.92
11,3,32.8,61.4,0,12.08
19,6,30.8,60.9,1,8.71
3,6,16.6,61.1,1,3.09
19,5,36.1,33.2,1,9.58
2,0,31.6,52.5,0,5.58
11,0,36.1,51.1,0,12.81
19,4,25.7,58.1,0,6.66
7,2,26.2,34.6,0,8.05
8,5,21.2,79.5,1,8.79
6,2,43.2,56.6,0,12.77
17,1,26.9,36.8,0,5.87
6,0,37.5,29.4,0,10.01
23,2,24.1,50.8,0,4.03
10,4,29.0,53.7,0,9.66
11,0,18.0,44.2,0,9.06
12,5,25.7,56.4,1,8.1
13,2,33.9,45.4,0,9.65
13,2,20.5,63.3,0,7.66
12,4,34.4,44.1,0,12.15
23,6,30.0,54.4,1,6.3
19,3,21.7,69.7,0,5.93
19,5,25.0,93.6,1,6.21
16,2,25.2,39.9,0,6.37
14,0,27.7,48.0,0,8.18
8,5,24.8,42.4,1,8.35
23,5,23.0,66.8,1,5.26
11,5,26.2,37.8,1,9.19
5,6,21.8,47.7,1,5.23
20,3,20.3,54.6,0,6.58
3,1,27.7,40.3,0,3.81
20,4,33.3,40.6,0,9.22
14,4,18.8,47.9,0,6.69
2,2,28.0,23.5,0,4.31
1,4,24.1,33.3,0,4.08
10,1,22.1,48.8,0,8.37
0,4,33.1,57.2,0,6.91
3,5,24.9,52.2,1,4.23
12,0,37.0,28.4,0,12.53
23,3,23.3,48.0,0,4.97
11,4,30.3,67.0,0,11.28
19,0,26.6,63.3,0,7.83
22,4,23.5,53.8,0,5.72
19,6,31.5,41.7,1,6.71
15,5,27.1,64.5,1,6.39
10,4,31.6,46.3,0,10.95
12,5,27.7,37.5,1,7.88
